num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
65467	69250.909508	66.488129	17.465721	-0.254548	71.862730
65469	69253.011522	66.521285	17.321652	-0.241376	65.884093
65471	69255.112156	68.000860	17.218501	-0.256611	71.987918
65473	69257.204031	67.893064	17.115203	-0.233504	75.065904
65475	69259.286426	66.930941	17.207072	-0.252358	77.264725
65477	69261.362792	67.030023	16.741008	-0.240917	78.595381
65479	69263.447318	67.284630	17.299373	-0.239403	71.499522
65481	69265.534342	66.413204	17.288726	-0.225805	78.276497
65483	69267.622912	66.646452	17.267674	-0.226926	77.087542
65485	69269.713549	66.731013	16.950338	-0.231461	75.142675
65487	69271.803008	67.032240	13.385233	-0.174344	74.481291
65489	69273.894330	66.331659	16.810348	-0.233708	75.555738
65491	69275.988378	66.605913	16.920687	-0.229513	75.646006
65493	69278.085666	72.998733	15.892150	-0.223361	77.722087
65495	69280.186272	66.355901	17.133437	-0.221556	77.064961
65497	69282.280386	67.237024	18.057712	-0.182052	75.757840
65499	69284.363614	67.523886	16.637463	-0.210542	66.027093
65501	69286.440220	69.313562	24.613299	-0.168491	65.036262
65503	69288.518590	65.439669	16.709492	-0.229491	68.620067
65505	69290.612916	65.247055	16.411128	-0.225781	71.011228
65507	69292.716083	66.005024	16.190181	-0.218624	76.690306
65509	69294.817540	66.614814	17.322310	-0.211236	70.558082
65511	69296.907209	67.836972	14.280722	-0.187403	70.719438
65513	69298.987056	65.313052	16.632118	-0.211027	70.373794
65515	69301.068998	64.649541	16.110792	-0.214382	62.814085
65517	69303.151007	66.265007	16.216839	-0.213691	69.807462
65519	69305.238172	69.931976	16.942430	-0.168262	69.666782
65521	69307.325351	65.633060	16.270775	-0.198436	68.961684
65523	69309.415389	71.825630	13.961936	-0.138190	73.796114
65525	69311.505873	66.069876	16.571226	-0.199081	69.484189
65527	69313.596199	64.662703	16.899860	-0.180330	73.246292
65529	69315.687448	66.235094	16.833836	-0.174136	71.078106
65531	69317.781699	65.453168	16.629329	-0.178168	69.559680
65533	69319.879360	65.298905	16.117346	-0.192586	68.844918
65535	69321.977896	65.537574	16.237059	-0.199479	67.956988
65537	69324.071491	66.145974	16.097166	-0.181253	73.022116
65539	69326.156276	65.670005	16.469164	-0.180888	72.345584
65541	69328.235768	64.934465	16.277221	-0.182351	74.157812
65543	69330.313900	64.645308	10.076415	-0.116416	73.169862
65545	69332.400654	71.297616	15.632859	-0.184983	75.639156
65547	69334.497891	64.995038	16.187004	-0.173469	68.212706
65549	69336.597752	64.139775	22.980586	-0.157233	65.602305
65551	69338.695139	64.986270	16.212106	-0.184390	68.843906
65553	69340.787497	66.276823	16.285023	-0.175613	68.301835
65555	69342.877225	65.012358	15.995933	-0.171089	74.857780
65557	69344.964891	65.840806	16.075230	-0.159274	74.356298
65559	69347.051269	65.697297	15.955637	-0.164579	76.681707
65561	69349.140223	65.687421	16.046022	-0.166323	71.896970
65563	69351.229816	65.087018	16.169356	-0.155268	73.955514
65565	69353.321704	65.344539	15.739485	-0.159767	73.592094
65567	69355.413643	65.287420	15.561029	-0.158452	74.436921
65569	69357.505308	62.378099	15.729396	-0.180803	69.892503
65571	69359.594197	65.655353	15.774675	-0.145608	70.944401
65573	69361.679377	67.273751	20.500309	-0.148604	65.645599
65575	69363.759916	64.873428	15.737037	-0.149950	68.897781
65577	69365.838443	67.820311	21.573756	-0.146103	66.470552
65579	69367.923911	64.815537	15.361308	-0.157411	67.603837
65581	69370.015996	64.805949	15.359094	-0.166534	70.316498
65583	69372.114540	64.454996	15.787553	-0.147723	72.620630
65585	69374.215030	70.552997	15.823564	-0.106446	75.081621
65587	69376.310131	64.565726	15.832554	-0.147908	74.204597
65589	69378.400673	65.167511	15.476640	-0.130673	69.147152
65591	69380.487703	65.128400	15.447400	-0.133408	68.953282
65593	69382.573107	64.896956	15.896150	-0.124974	69.349290
65595	69384.658130	64.441293	15.779379	-0.128499	66.915864
65597	69386.745018	64.305605	20.870475	-0.134628	63.489203
65599	69388.831901	65.642301	15.271411	-0.132123	65.803725
65601	69390.921647	62.493318	15.075990	-0.141886	67.850686
65603	69393.012501	64.738309	15.621812	-0.123653	66.643424
65605	69395.105265	64.356822	15.281352	-0.129269	64.490500
65607	69397.197897	64.387057	15.183596	-0.127234	68.508143
65609	69399.291004	64.679167	15.371685	-0.129474	67.266384
65611	69401.384738	63.871350	15.736362	-0.124337	67.979973
65613	69403.475817	64.589830	15.212400	-0.114752	72.415284
65615	69405.563671	63.572697	18.356782	-0.078870	71.278056
65617	69407.644781	71.910383	14.758624	-0.125547	71.118802
65619	69409.726510	64.742326	15.566721	-0.113385	70.719254
65621	69411.806957	60.833993	14.399566	-0.067303	72.536153
65623	69413.894795	64.022109	15.572706	-0.104850	71.492514
65625	69415.987878	63.311581	14.604620	-0.106884	69.097162
65627	69418.083972	69.371153	13.905645	-0.131429	66.201412
65629	69420.181980	63.657110	15.006914	-0.108804	67.260396
65631	69422.276802	64.074444	15.068099	-0.105641	66.160522
65633	69424.370409	63.848120	15.074433	-0.099654	69.875187
65635	69426.461058	64.230907	15.061128	-0.101410	73.161554
65637	69428.550720	64.492557	14.899482	-0.097147	68.773283
65639	69430.641149	70.273399	14.609769	-0.119278	65.460238
65641	69432.729601	65.081530	15.236735	-0.094344	65.484728
65643	69434.818213	64.513216	14.483142	-0.097494	68.151201
65645	69436.905308	68.976159	14.113319	-0.117178	67.959881
65647	69438.987503	63.341234	15.059987	-0.093734	67.603936
65649	69441.069250	64.684821	14.862631	-0.093825	65.255418
65651	69443.152175	64.008496	14.787992	-0.094094	65.881870
65653	69445.238648	63.530843	14.237407	-0.106185	66.277895
65655	69447.330659	63.431192	15.092286	-0.089139	69.754649
65657	69449.426835	69.094038	14.272188	-0.103577	72.092202
65659	69451.525904	63.565951	14.906924	-0.082345	72.733408
