time (s)	det(V)
64031.170349	1.627455	
64031.172350	1.627424	
64031.174348	1.627449	
64031.176349	1.627402	
64031.180351	1.627448	
64031.182353	1.627483	
64031.184353	1.627450	
64031.188352	1.627399	
64031.190354	1.627440	
64031.192353	1.627503	
64031.194353	1.627504	
64031.196353	1.627429	
64031.200352	1.627416	
64031.202353	1.627439	
64031.204354	1.627415	
64031.208352	1.627391	
64031.210353	1.627470	
64031.212353	1.627439	
64031.214354	1.627439	
64031.216353	1.627436	
64031.220352	1.627452	
64031.222352	1.627447	
64031.224353	1.627362	
64031.228352	1.627343	
64031.230354	1.627275	
64031.232353	1.627198	
64031.234353	1.626793	
64031.236354	1.626376	
64031.240352	1.625119	
64031.242354	1.582571	
64031.244354	1.557839	
64031.248353	1.531274	
64031.250354	1.481618	
64031.252353	1.454973	
64031.254354	1.428928	
64031.256353	1.398625	
64031.260354	1.377545	
64031.262356	1.323038	
64031.264355	1.301333	
64031.268355	1.277853	
64031.270354	1.237401	
64031.272356	1.216049	
64031.286280	1.082298	
64031.288282	1.061647	
64031.292281	1.036877	
64031.294282	0.997787	
64031.296282	0.991704	
64031.298283	0.981275	
64031.300282	0.957763	
64031.302283	0.934047	
64031.306280	0.911212	
64031.310280	0.883388	
64031.312283	0.868897	
64031.314282	0.854184	
64031.316283	0.835831	
64031.318282	0.820129	
64031.320283	0.813051	
64031.322283	0.801967	
64031.324282	0.782862	
64031.328283	0.777320	
64031.330283	0.749020	
64031.332282	0.747420	
64031.334288	0.739910	
64031.336293	0.732944	
64031.338292	0.722537	
64031.340293	0.705806	
64031.342296	0.704750	
64031.346296	0.696762	
64031.348296	0.678074	
64031.350297	0.661044	
64031.354296	0.646852	
64031.356298	0.634979	
64031.358298	0.633514	
64031.360296	0.622260	
64031.362297	0.609220	
64031.366294	0.601424	
64031.368297	0.569106	
64031.370296	0.563381	
64031.374296	0.551493	
64031.376296	0.539115	
64031.378296	0.523284	
64031.380296	0.513209	
64031.382295	0.507817	
64031.386295	0.487873	
64031.388296	0.459660	
64031.390295	0.441654	
64031.394296	0.439538	
64031.396296	0.423770	
64031.398296	0.415616	
64031.400297	0.395181	
64031.402296	0.383888	
64031.404297	0.377236	
64031.408294	0.354831	
64031.412294	0.335645	
64031.414297	0.318254	
64031.416296	0.309807	
64031.418297	0.292090	
64031.420295	0.283740	
64031.422296	0.272735	
64031.424297	0.261027	
64031.426297	0.250065	
64031.430296	0.232867	
64031.434295	0.221451	
64031.436298	0.205559	
64031.438298	0.196165	
64031.440300	0.185904	
64031.442298	0.184430	
64031.444298	0.175517	
64031.446297	0.159140	
64031.450298	0.154944	
64031.452299	0.138485	
64031.454299	0.134266	
64031.456299	0.127729	
64031.458299	0.126785	
64031.460300	0.123417	
64031.462298	0.115201	
64031.464299	0.115410	
64031.468296	0.104847	
64031.470298	0.088844	
64031.472298	0.082927	
64031.476298	0.074136	
64031.478299	0.076405	
64031.480299	0.072060	
64031.482298	0.069799	
64031.484299	0.061092	
64031.488296	0.058276	
64031.490297	0.038990	
64031.492298	0.042268	
64031.496297	0.034741	
64031.498298	0.039527	
64031.500300	0.024048	
64031.502298	0.018977	
64031.504299	0.016726	
64031.508296	0.006303	
64031.510299	-0.004887	
64031.512298	-0.010079	
64031.516301	-0.012377	
64031.518298	-0.022243	
64031.520299	-0.023569	
64031.522299	-0.032978	
64031.524298	-0.040341	
64031.528296	-0.041146	
64031.530297	-0.061761	
64031.532296	-0.063247	
64031.536297	-0.077970	
64031.538299	-0.081100	
64031.540298	-0.092203	
64031.542298	-0.092393	
64031.544298	-0.100245	
64031.548296	-0.108064	
64031.550297	-0.129261	
64031.552297	-0.134268	
64031.556297	-0.138534	
64031.558297	-0.144413	
64031.560298	-0.148822	
64031.562297	-0.159872	
64031.564298	-0.162817	
64031.568297	-0.169466	
64031.570297	-0.191188	
64031.572296	-0.200204	
64031.576296	-0.205852	
64031.578298	-0.209730	
64031.580298	-0.215930	
64031.582298	-0.218742	
64031.584298	-0.231618	
64031.586296	-0.235810	
64031.590295	-0.247530	
64031.594295	-0.259300	
64031.596297	-0.270729	
64031.598298	-0.268286	
64031.600297	-0.281346	
64031.602298	-0.288388	
64031.604297	-0.292119	
64031.606298	-0.304605	
64031.608298	-0.310232	
64031.612303	-0.316758	
64031.616301	-0.328876	
64031.618301	-0.340063	
64031.620302	-0.346179	
64031.622301	-0.357060	
64031.624302	-0.366961	
64031.626301	-0.364929	
64031.628302	-0.384124	
64031.632300	-0.392100	
64031.636301	-0.409970	
64031.638302	-0.418273	
64031.640302	-0.426946	
64031.642301	-0.431907	
64031.644300	-0.441944	
64031.646302	-0.453241	
64031.648302	-0.467273	
64031.652301	-0.485959	
64031.656302	-0.503579	
64031.658302	-0.522338	
64031.660302	-0.531403	
64031.662302	-0.546858	
64031.664302	-0.554532	
64031.666302	-0.571382	
64031.668300	-0.593979	
64031.672302	-0.603839	
64031.674302	-0.633513	
64031.676301	-0.641856	
64031.678305	-0.654950	
64031.680303	-0.665732	
64031.682304	-0.677106	
64031.684303	-0.702676	
64031.686302	-0.713218	
64031.690302	-0.726983	
64031.692303	-0.759789	
64031.694303	-0.777848	
64031.698303	-0.796482	
64031.700304	-0.822462	
64031.702304	-0.837749	
64031.704303	-0.852908	
64031.706304	-0.872732	
64031.710301	-0.884974	
64031.712304	-0.925527	
64031.714304	-0.936271	
64031.718303	-0.954147	
64031.720305	-0.983618	
64031.722304	-1.000648	
64031.724304	-1.020000	
64031.726304	-1.028495	
64031.730301	-1.050679	
64031.732304	-1.087265	
64031.734303	-1.112094	
64031.738304	-1.124764	
64031.740304	-1.156012	
64031.742303	-1.165546	
64031.744303	-1.186745	
64031.746304	-1.204192	
64031.748304	-1.215180	
64031.750303	-1.242595	
64031.752303	-1.258420	
64031.758302	-1.293922	
64031.760302	-1.312294	
64031.762303	-1.332832	
64031.764304	-1.345211	
64031.766304	-1.364270	
64031.768303	-1.385860	
64031.772302	-1.405250	
64031.776302	-1.435702	
64031.778303	-1.458705	
64031.780304	-1.469174	
64031.782304	-1.478718	
64031.784302	-1.499836	
64031.786304	-1.507986	
64031.788303	-1.518329	
64031.792301	-1.543729	
64031.796302	-1.559124	
64031.798305	-1.571125	
64031.800304	-1.587531	
64031.802303	-1.594531	
64031.804303	-1.601830	
64031.806305	-1.614196	
64031.808303	-1.614279	
64031.812301	-1.627226	
64031.816302	-1.632883	
64031.818304	-1.632929	
64031.820304	-1.632892	
64031.822304	-1.632852	
64031.824304	-1.632904	
64031.826304	-1.632914	
64031.828304	-1.632916	
64031.830302	-1.632950	
64031.834303	-1.632929	
64031.836304	-1.632938	
64031.838303	-1.632985	
64031.840304	-1.632953	
64031.842304	-1.632947	
64031.844303	-1.632929	
64031.846304	-1.632917	
64031.848304	-1.632910	
64031.852302	-1.632885	
64031.854302	-1.632941	
64031.856304	-1.632989	
64031.860302	-1.632989	
64031.862303	-1.632939	
64031.864304	-1.632932	
64031.866304	-1.632945	
64031.868302	-1.632991	
64031.872302	-1.632894	
64031.874303	-1.632917	
64031.876304	-1.632909	
64031.880303	-1.632960	
64031.882304	-1.630264	
64031.884304	-1.631469	
64031.886303	-1.623709	
64031.888304	-1.614212	
64031.890304	-1.609145	
64031.892304	-1.596111	
64031.894303	-1.588326	
64031.898303	-1.577294	
64031.900303	-1.549700	
64031.902304	-1.527236	
64031.904302	-1.504812	
64031.906304	-1.493525	
64031.908304	-1.467196	
64031.910303	-1.445956	
64031.914301	-1.427978	
64031.916304	-1.382058	
64031.918304	-1.361500	
64031.922303	-1.330241	
64031.924304	-1.270468	
64031.926303	-1.236544	
64031.928305	-1.216712	
64031.930304	-1.180224	
64031.934302	-1.143832	
64031.936304	-1.086369	
64031.938302	-1.051834	
64031.942302	-1.019705	
64031.944304	-0.933565	
64031.946303	-0.897066	
64031.948304	-0.856065	
64031.950304	-0.824004	
64031.954301	-0.784380	
64031.956304	-0.714032	
64031.958304	-0.668707	
64031.962304	-0.630409	
64031.964304	-0.541047	
64031.966304	-0.504642	
64031.968304	-0.475621	
64031.970303	-0.429310	
64031.972304	-0.397028	
64031.974304	-0.370766	
64031.976304	-0.327103	
64031.978307	-0.291581	
64031.982308	-0.253510	
64031.984308	-0.186390	
64031.986307	-0.142945	
64031.988308	-0.109986	
64031.990308	-0.083028	
64031.992307	-0.040643	
64031.994308	-0.011862	
64031.998306	0.011684	
64032.002307	0.069533	
64032.004309	0.132662	
64032.006308	0.159508	
64032.008307	0.193920	
64032.010307	0.218821	
64032.012308	0.244978	
64032.014310	0.281683	
64032.016314	0.295892	
64032.020329	0.316311	
64032.022331	0.378738	
64032.024331	0.406139	
64032.026331	0.443853	
64032.028331	0.470324	
64032.030330	0.501736	
64032.032331	0.532856	
64032.034331	0.557424	
64032.038329	0.596800	
64032.040330	0.648817	
64032.042329	0.693884	
64032.046330	0.724063	
64032.048331	0.808518	
64032.050331	0.835446	
64032.052330	0.870832	
64032.054331	0.911449	
64032.056330	0.942049	
64032.058330	0.978990	
64032.062330	1.016532	
64032.064332	1.094077	
64032.066330	1.128736	
64032.068332	1.165984	
64032.070336	1.204768	
64032.072333	1.236002	
64032.074333	1.266435	
64032.076333	1.308306	
64032.080330	1.335011	
64032.082332	1.406512	
64032.084334	1.429258	
64032.088332	1.467794	
64032.090333	1.538997	
64032.092332	1.577394	
64032.094332	1.600758	
64032.096333	1.623353	
64032.098333	1.626368	
64032.100333	1.626539	
64032.104337	1.626904	
64032.106337	1.627094	
64032.108336	1.627198	
64032.110338	1.627171	
64032.112338	1.627164	
64032.114336	1.627115	
64032.116336	1.627123	
64032.118337	1.627112	
64032.122334	1.627145	
64032.124337	1.627181	
64032.126336	1.627141	
64032.130336	1.627157	
64032.132337	1.627160	
64032.134336	1.627139	
64032.136337	1.627110	
64032.138337	1.627124	
64032.140337	1.627125	
64032.142337	1.627131	
64032.146339	1.627081	
64032.148337	1.627202	
64032.150339	1.627082	
64032.152339	1.627155	
64032.154341	1.627141	
64032.156338	1.627097	
64032.158339	1.627097	
64032.160338	1.627085	
64032.164337	1.627097	
64032.166338	1.627078	
64032.168339	1.627081	
64032.172337	1.627120	
64032.174339	1.627076	
64032.176338	1.627100	
64032.178338	1.627110	
64032.180338	1.627108	
64032.182339	1.627113	
64032.184338	1.627090	
64032.188338	1.627084	
64032.190338	1.627097	
64032.192338	1.627110	
64032.194339	1.627098	
64032.196339	1.627035	
64032.198340	1.627002	
64032.200338	1.627006	
64032.202339	1.627010	
64032.206336	1.626956	
64032.208338	1.626851	
64032.210338	1.626762	
64032.214338	1.626594	
64032.216340	1.626049	
64032.218339	1.625706	
64032.220338	1.625131	
64032.222338	1.616705	
64032.224338	1.599701	
64032.226338	1.581431	
64032.230338	1.559694	
64032.234339	1.527848	
64032.236341	1.486268	
64032.238340	1.463585	
64032.240340	1.433457	
64032.242341	1.420077	
64032.244340	1.393557	
64032.248338	1.364059	
64032.252338	1.313468	
64032.254340	1.274569	
