time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
64559.693360	17.278170	0.006886	2.509066	243
64560.713344	19.332916	0.006895	2.803807	244
64561.791189	18.150234	0.006912	2.626049	245
64562.793929	20.266298	0.006889	2.941858	246
64563.883760	17.378481	0.006888	2.522948	247
64564.875646	19.052782	0.006912	2.756618	248
64565.972142	19.020060	0.006902	2.755891	249
64566.969551	17.492413	0.006894	2.537288	250
64568.058139	19.047548	0.006913	2.755260	251
64569.052499	18.290777	0.006899	2.651380	252
64570.142138	19.379461	0.006871	2.820611	253
64571.150692	18.013069	0.006913	2.605735	254
64572.129457	23.489264	0.006888	3.410192	255
64573.251824	15.657445	0.006906	2.267385	0
64574.295895	19.733870	0.006888	2.864858	1
64575.337824	18.061150	0.006889	2.621718	2
64576.376255	21.964212	0.006918	3.175021	3
64577.429906	16.580976	0.006905	2.401204	4
64578.469189	19.193726	0.006898	2.782530	5
64579.516865	17.153605	0.006885	2.491269	6
64580.555367	18.472244	0.006906	2.674788	7
64581.595406	18.657709	0.006912	2.699327	8
64582.648351	17.880779	0.006898	2.592095	9
64583.683292	19.270418	0.006897	2.794166	10
64584.732883	18.130703	0.006906	2.625451	11
64585.764912	18.316275	0.006905	2.652667	12
64586.825149	17.557665	0.006889	2.548801	13
64587.853189	18.994961	0.006895	2.754692	14
64588.914958	17.092386	0.006908	2.474223	15
64589.939018	18.571276	0.006911	2.687156	16
64591.000699	16.262577	0.006879	2.363977	17
64592.032975	17.314278	0.006891	2.512551	18
64593.083884	18.090158	0.006893	2.624410	19
64594.121598	17.629196	0.006893	2.557579	20
64595.166082	17.914904	0.006890	2.600182	21
64596.204971	17.957870	0.006895	2.604314	22
64597.254690	17.637152	0.006908	2.553097	23
64598.298748	17.115229	0.006909	2.477145	24
64599.339250	18.575815	0.006907	2.689423	25
64600.379694	18.034010	0.006906	2.611319	26
64601.429009	19.501005	0.006888	2.831103	27
64602.468314	16.351028	0.006891	2.372937	28
64603.516509	19.013666	0.006877	2.764892	29
64604.548613	16.141266	0.006891	2.342486	30
64605.612444	19.475634	0.006908	2.819465	31
64606.626978	17.303511	0.006915	2.502351	32
64607.706388	17.982655	0.006890	2.609837	33
64608.711408	16.801712	0.006896	2.436522	34
64609.795947	17.786997	0.006884	2.583641	35
64610.795949	17.050739	0.006907	2.468669	36
64611.880304	17.926023	0.006894	2.600097	37
64612.880116	18.016188	0.006894	2.613390	38
64613.966056	17.657169	0.006907	2.556575	39
64614.972554	18.092239	0.006919	2.614814	40
64616.050271	16.793779	0.006892	2.436656	41
64617.062179	18.048330	0.006887	2.620468	42
64618.130611	17.351009	0.006904	2.513356	43
64619.158205	17.910955	0.006901	2.595372	44
64620.212700	16.543251	0.006907	2.395002	45
64621.244753	18.310480	0.006903	2.652706	46
64622.297598	17.333612	0.006906	2.509947	47
64623.337601	17.112553	0.006879	2.487798	48
64624.381741	17.615553	0.006888	2.557326	49
64625.421869	17.518137	0.006872	2.549179	50
64626.469706	17.148788	0.006898	2.486068	51
64627.512213	17.203611	0.006893	2.495879	52
64628.556724	16.860249	0.006896	2.444879	53
64629.600797	16.603477	0.006905	2.404660	54
64630.640848	17.202333	0.006911	2.489034	55
64631.684936	16.859577	0.006886	2.448535	56
64632.729122	17.086437	0.006895	2.478181	57
64633.773332	16.782715	0.006899	2.432473	58
64634.814966	17.143108	0.006903	2.483569	59
64635.859012	17.071264	0.006907	2.471701	60
64636.904716	16.558035	0.006893	2.402133	61
64637.944912	17.076691	0.006893	2.477443	62
64638.992030	16.817312	0.006888	2.441430	63
64640.028144	17.711288	0.006904	2.565300	64
64641.084750	16.107967	0.006882	2.340580	65
64642.109009	17.878038	0.006890	2.594805	66
64643.173705	16.858288	0.006900	2.443112	67
64644.193996	17.291273	0.006892	2.509003	68
64645.265903	16.149235	0.006901	2.340263	69
64646.276280	16.670078	0.006890	2.419619	70
64647.356930	16.855225	0.006904	2.441483	71
64648.355225	17.422857	0.006872	2.535324	72
64649.445855	17.058577	0.006902	2.471415	73
64650.444473	16.451189	0.006891	2.387252	74
64651.530072	17.711517	0.006888	2.571532	75
64652.534420	15.794179	0.006893	2.291391	76
64653.614684	17.413441	0.006891	2.527117	77
64654.623641	15.669631	0.006886	2.275707	78
64655.695325	17.721893	0.006889	2.572625	79
64656.715302	15.766380	0.006890	2.288338	80
64657.777105	17.501871	0.006902	2.535684	81
64658.811211	14.866537	0.006906	2.152824	82
64659.861259	17.243330	0.006887	2.503575	83
64660.897122	15.823108	0.006875	2.301530	84
64661.941548	16.782843	0.006899	2.432754	85
64662.987168	15.720144	0.006904	2.277087	86
64664.027219	17.436951	0.006903	2.526022	87
64665.071312	16.613451	0.006899	2.408091	88
64666.115470	17.111122	0.006877	2.488113	89
64667.161191	16.156576	0.006898	2.342380	90
64668.205260	16.257645	0.006908	2.353558	91
64669.245290	16.812960	0.006891	2.439746	92
64670.289456	16.788244	0.006896	2.434541	93
64671.331188	17.024700	0.006902	2.466469	94
64672.380040	15.613789	0.006900	2.262724	95
64673.419028	16.417938	0.006877	2.387392	96
64674.464452	16.226706	0.006893	2.354129	97
64675.507605	16.075457	0.006901	2.329545	98
64676.548244	16.732721	0.006871	2.435237	99
64677.592455	16.313347	0.006896	2.365701	100
64678.636657	16.244211	0.006928	2.344602	101
64679.681412	16.437441	0.006897	2.383161	102
64680.721584	17.028652	0.006900	2.467852	103
64681.767128	15.603364	0.006912	2.257496	104
64682.811076	16.936342	0.006878	2.462264	105
64683.851334	15.513517	0.006898	2.249039	106
64684.899588	16.964312	0.006902	2.457815	107
64685.937153	15.177538	0.006913	2.195632	108
64686.990094	16.891684	0.006898	2.448764	109
64688.016909	15.305269	0.006896	2.219559	110
64689.086772	15.854708	0.006886	2.302550	111
64690.099217	15.357961	0.006897	2.226734	112
64691.173313	16.876148	0.006907	2.443351	113
64692.183742	16.648867	0.006903	2.411927	114
64693.263964	16.483881	0.006895	2.390573	115
64694.263849	16.169523	0.006910	2.339880	116
64695.352929	16.316614	0.006915	2.359434	117
64696.355689	15.276408	0.006900	2.213894	118
64697.424613	18.744099	0.006888	2.721333	119
64698.441028	15.805247	0.006880	2.297167	120
64699.524358	15.539746	0.006889	2.255818	121
64700.532726	15.688731	0.006913	2.269518	122
64701.603361	16.070816	0.006882	2.335278	123
64702.620928	16.046242	0.006893	2.327816	124
64703.691174	15.285581	0.006906	2.213270	125
64704.707969	16.858356	0.006895	2.444988	126
64705.773683	15.165482	0.006909	2.194971	127
64706.797725	16.584476	0.006907	2.401196	128
64707.855587	15.731399	0.006889	2.283589	129
64708.886015	16.555210	0.006892	2.402121	130
64709.937754	16.611263	0.006895	2.409306	131
64710.974937	16.385284	0.006894	2.376628	132
64712.028701	15.245925	0.006906	2.207667	133
64713.063908	15.880622	0.006898	2.302174	134
64714.115673	15.090600	0.006910	2.184024	135
64715.148562	16.405956	0.006901	2.377185	136
64716.198217	15.882937	0.006903	2.300889	137
64717.234684	16.263355	0.006906	2.355047	138
64718.286636	15.585105	0.006872	2.267885	139
64719.322841	15.813429	0.006890	2.295267	140
64720.377075	14.991518	0.006888	2.176579	141
64721.407744	15.532215	0.006882	2.257091	142
64722.469814	14.282234	0.006879	2.076205	143
64723.490058	16.009981	0.006888	2.324259	144
64724.554367	15.320836	0.006902	2.219899	145
64725.574384	15.816124	0.006899	2.292615	146
64726.644357	15.619900	0.006892	2.266407	147
64727.663017	14.611726	0.006886	2.122031	148
64728.731334	15.850198	0.006874	2.305866	149
64729.739063	16.092388	0.006884	2.337723	150
64730.825007	15.276015	0.006909	2.210887	151
64731.823412	15.789973	0.006894	2.290536	152
64732.909214	15.882287	0.006888	2.305742	153
64733.913149	14.835486	0.006908	2.147438	154
64734.995115	16.045715	0.006902	2.324837	155
64735.998920	14.916528	0.006868	2.171770	156
64737.079648	16.095819	0.006913	2.328234	157
64738.091643	14.404623	0.006904	2.086403	158
64739.164616	15.605398	0.006907	2.259462	159
64740.181093	14.410622	0.006897	2.089396	160
64741.249913	15.265568	0.006899	2.212644	161
64742.270229	14.360122	0.006890	2.084193	162
64743.330495	15.799718	0.006898	2.290622	163
64744.359913	14.558784	0.006905	2.108389	164
64745.413839	15.367722	0.006906	2.225312	165
64746.450653	14.544876	0.006888	2.111733	166
64747.505511	13.863079	0.006867	2.018737	167
64748.536073	14.890393	0.006917	2.152586	168
64749.585594	14.949749	0.006890	2.169764	169
64750.624651	14.863182	0.006872	2.162928	170
64751.668850	15.283989	0.006896	2.216271	171
64752.713033	14.742377	0.006904	2.135229	172
64753.754665	15.611065	0.006907	2.260098	173
64754.798727	15.060248	0.006932	2.172603	174
64755.842809	15.355753	0.006891	2.228518	175
64756.886979	14.550429	0.006884	2.113534	176
64757.927134	15.259016	0.006880	2.218017	177
64758.975744	14.190849	0.006884	2.061332	178
64760.012851	15.605546	0.006909	2.258591	179
64761.059280	14.578649	0.006908	2.110250	180
64762.101765	15.221452	0.006886	2.210421	181
64763.145908	14.202584	0.006886	2.062562	182
64764.191751	14.863187	0.006893	2.156136	183
64765.230862	14.188123	0.006886	2.060302	184
64766.279077	14.901690	0.006896	2.161018	185
64767.316716	13.767876	0.006879	2.001482	186
64768.363745	15.920793	0.006900	2.307457	187
64769.399364	14.021297	0.006905	2.030631	188
64770.457430	15.169288	0.006891	2.201322	189
64771.482249	13.880199	0.006888	2.015028	190
64772.547426	17.646122	0.006900	2.557316	191
64773.570329	12.870353	0.006877	1.871421	192
64774.638064	14.912672	0.006897	2.162061	193
64775.646452	14.236364	0.006896	2.064454	194
64776.724011	15.715195	0.006877	2.285253	195
64777.732057	14.269155	0.006889	2.071288	196
64778.812853	15.249535	0.006893	2.212281	197
64779.818253	14.113995	0.006887	2.049427	198
64780.902624	14.597407	0.006915	2.111007	199
64781.905081	14.362253	0.006897	2.082242	200
64782.988513	14.389105	0.006892	2.087730	201
64783.995179	13.980401	0.006878	2.032755	202
64785.071513	14.633975	0.006895	2.122440	203
64786.081035	14.694788	0.006895	2.131082	204
64787.159376	13.789963	0.006907	1.996654	205
64788.168160	15.119827	0.006892	2.193755	206
64789.242758	14.201293	0.006886	2.062385	207
64790.257104	15.217169	0.006894	2.207293	208
64791.328931	13.355857	0.006902	1.935024	209
64792.349456	16.743221	0.006901	2.426132	210
64793.411501	13.766662	0.006895	1.996703	211
64794.435546	14.465125	0.006886	2.100692	212
64795.495827	14.146719	0.006880	2.056066	213
64796.519894	15.162456	0.006920	2.191127	214
64797.581608	13.898885	0.006901	2.013895	215
64798.611649	14.060041	0.006904	2.036370	216
64799.666188	14.333654	0.006911	2.073951	217
64800.694187	14.792614	0.006892	2.146343	218
64801.756123	13.868053	0.006902	2.009224	219
64802.778512	15.019066	0.006894	2.178608	220
64803.842430	13.865203	0.006907	2.007504	221
64804.864526	14.800049	0.006904	2.143680	222
64805.930267	14.258042	0.006889	2.069625	223
64806.949051	14.877926	0.006907	2.154142	224
64808.021945	13.622478	0.006867	1.983736	225
64809.034525	14.507928	0.006896	2.103921	226
64810.107024	14.554837	0.006911	2.106101	227
64811.118139	14.509715	0.006888	2.106433	228
64812.198471	13.988167	0.006908	2.024799	229
64813.202780	14.495897	0.006896	2.102122	230
64814.284554	13.889562	0.006889	2.016296	231
64815.288518	14.567143	0.006901	2.110791	232
64816.370840	14.484294	0.006891	2.101933	233
64817.378525	13.174532	0.006888	1.912690	234
64818.457880	14.376491	0.006896	2.084635	235
64819.461706	13.912578	0.006891	2.018993	236
64820.545564	13.978306	0.006909	2.023078	237
64821.553532	13.131006	0.006901	1.902677	238
64822.632462	13.506239	0.006881	1.962794	239
64823.641237	13.418015	0.006876	1.951539	240
64824.711606	14.092425	0.006909	2.039841	241
64825.731906	13.204833	0.006943	1.901997	242
64826.793806	14.288277	0.006886	2.075065	243
64827.819266	13.457695	0.006887	1.954174	244
64828.881681	13.396197	0.006904	1.940281	245
64829.907624	13.617667	0.006898	1.974218	246
64830.964173	13.690156	0.006909	1.981636	247
64831.996223	13.547668	0.006914	1.959591	248
64833.051927	13.456197	0.006888	1.953447	249
64834.079934	14.460210	0.006891	2.098425	250
64835.135812	13.377614	0.006900	1.938766	251
64836.170302	13.896763	0.006906	2.012347	252
64837.220385	13.781788	0.006908	1.995087	253
64838.258390	13.550159	0.006878	1.970015	254
64839.302618	14.383348	0.006897	2.085592	255
64840.342810	14.273980	0.006894	2.070420	0
64841.392428	13.627094	0.006905	1.973518	1
64842.432481	13.270870	0.006896	1.924309	2
64843.476620	14.275469	0.006890	2.072037	3
64844.516393	13.816289	0.006863	2.013251	4
64845.568495	13.205070	0.006899	1.914173	5
64846.604515	13.112213	0.006906	1.898591	6
64847.650565	14.311821	0.006891	2.076782	7
64848.688337	13.619914	0.006890	1.976789	8
64849.742956	13.507704	0.006873	1.965306	9
64850.771612	13.359056	0.006887	1.939756	10
64851.828241	14.285772	0.006899	2.070701	11
64852.856311	13.271769	0.006888	1.926864	12
64853.917221	14.062851	0.006893	2.040092	13
64854.942876	12.705081	0.006892	1.843503	14
64856.006135	14.172109	0.006891	2.056669	15
64857.027745	12.567845	0.006892	1.823529	16
64858.095047	14.234817	0.006894	2.064708	17
64859.108914	13.073784	0.006894	1.896387	18
64860.185300	13.970567	0.006900	2.024807	19
64861.191614	13.468191	0.006891	1.954320	20
64862.273395	13.852088	0.006886	2.011542	21
64863.277354	13.781888	0.006910	1.994627	22
64864.357706	14.376397	0.006897	2.084356	23
64865.365552	13.307740	0.006893	1.930742	24
