crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	21.327948	11155	65884913664.000000
281474976710655.000000	17.172567	11156	65885999104.000000
281474976710655.000000	18.844582	11157	65886994432.000000
281474976710655.000000	17.444901	11158	65888096256.000000
281474976710655.000000	16.649220	11159	65889067008.000000
281474976710655.000000	24.260788	11160	65890185216.000000
281474976710655.000000	19.063238	11161	65891172352.000000
281474976710655.000000	16.644459	11162	65892249600.000000
281474976710655.000000	16.809875	11163	65893269504.000000
281474976710655.000000	21.336779	11164	65894330368.000000
281474976710655.000000	21.625929	11165	65895358464.000000
281474976710655.000000	12.666296	11166	65896415232.000000
281474976710655.000000	11.945845	11167	65897455616.000000
281474976710655.000000	24.333799	11168	65898516480.000000
281474976710655.000000	21.117476	11169	65899511808.000000
281474976710655.000000	27.049051	11170	65900621824.000000
281474976710655.000000	19.338423	11171	65901608960.000000
281474976710655.000000	18.482803	11172	65902686208.000000
281474976710655.000000	19.932867	11173	65903693824.000000
281474976710655.000000	26.780869	11174	65904775168.000000
281474976710655.000000	23.580132	11175	65905795072.000000
281474976710655.000000	18.309296	11176	65906843648.000000
281474976710655.000000	14.931240	11177	65907896320.000000
281474976710655.000000	27.193666	11178	65908944896.000000
281474976710655.000000	22.182615	11179	65909960704.000000
281474976710655.000000	20.927843	11180	65911046144.000000
281474976710655.000000	19.409235	11181	65912049664.000000
281474976710655.000000	22.335011	11182	65913131008.000000
281474976710655.000000	22.074980	11183	65914122240.000000
281474976710655.000000	20.754353	11184	65915228160.000000
281474976710655.000000	19.332960	11185	65916211200.000000
281474976710655.000000	18.958168	11186	65917308928.000000
281474976710655.000000	19.697611	11187	65918300160.000000
281474976710655.000000	20.400259	11188	65919385600.000000
281474976710655.000000	24.022343	11189	65920385024.000000
281474976710655.000000	22.260366	11190	65921482752.000000
281474976710655.000000	24.242561	11191	65922478080.000000
281474976710655.000000	18.441143	11192	65923567616.000000
281474976710655.000000	22.175606	11193	65924562944.000000
281474976710655.000000	18.673126	11194	65925656576.000000
281474976710655.000000	19.174589	11195	65926647808.000000
281474976710655.000000	22.445797	11196	65927741440.000000
281474976710655.000000	25.812067	11197	65928732672.000000
281474976710655.000000	20.806839	11198	65929830400.000000
281474976710655.000000	18.931931	11199	65930817536.000000
281474976710655.000000	29.386719	11200	65931915264.000000
281474976710655.000000	23.481539	11201	65932914688.000000
281474976710655.000000	22.010040	11202	65933987840.000000
281474976710655.000000	23.746054	11203	65935020032.000000
281474976710655.000000	21.890810	11204	65936060416.000000
281474976710655.000000	22.861813	11205	65937108992.000000
281474976710655.000000	19.795422	11206	65938153472.000000
281474976710655.000000	25.070662	11207	65939193856.000000
281474976710655.000000	20.892832	11208	65940246528.000000
281474976710655.000000	21.733309	11209	65941258240.000000
281474976710655.000000	20.890074	11210	65942347776.000000
281474976710655.000000	25.437494	11211	65943339008.000000
281474976710655.000000	22.081573	11212	65944436736.000000
281474976710655.000000	21.122761	11213	65945432064.000000
281474976710655.000000	24.263515	11214	65946509312.000000
281474976710655.000000	22.517611	11215	65947533312.000000
281474976710655.000000	23.822527	11216	65948585984.000000
281474976710655.000000	22.966213	11217	65949630464.000000
281474976710655.000000	23.283808	11218	65950674944.000000
281474976710655.000000	25.302355	11219	65951715328.000000
281474976710655.000000	21.474899	11220	65952763904.000000
281474976710655.000000	24.960125	11221	65953787904.000000
281474976710655.000000	21.877651	11222	65954861056.000000
281474976710655.000000	28.748102	11223	65955868672.000000
281474976710655.000000	22.547470	11224	65956954112.000000
281474976710655.000000	21.253525	11225	65957953536.000000
281474976710655.000000	25.945362	11226	65959043072.000000
281474976710655.000000	26.576061	11227	65960038400.000000
281474976710655.000000	23.586384	11228	65961132032.000000
