time (s)	coil I (A)	last det (V)	int current (uC)
66569.503640	0.582730	119.824219	217.675781
66569.505646	0.770806	119.824219	217.675781
66569.507645	0.773540	119.824219	217.675781
66569.509645	0.771235	8.483582	0.515515
66570.580179	0.478118	107.324219	-183.398437
66570.582180	0.735359	107.324219	-183.398437
66570.584180	0.773981	107.324219	-183.398437
66570.588182	0.769610	8.465708	0.641430
66571.583110	0.390861	118.164062	204.492187
66571.585111	0.678616	118.164062	204.492187
66571.587111	0.775466	118.164062	204.492187
66571.589111	0.772490	8.497391	0.548308
66572.669162	0.479784	93.066406	-175.390625
66572.671164	0.735995	93.066406	-175.390625
66572.673165	0.773545	93.066406	-175.390625
66572.677165	0.769208	8.461286	0.530387
66573.665194	0.582867	122.460937	192.578125
66573.667190	0.770804	122.460937	192.578125
66573.669192	0.773649	122.460937	192.578125
66573.671191	0.771366	8.485027	0.523849
66574.757225	0.347101	70.312500	-169.140625
66574.759226	0.641562	70.312500	-169.140625
66574.761226	0.774652	70.312500	-169.140625
66574.763226	0.772392	8.496309	0.603040
66575.769244	0.392372	130.566406	185.156250
66575.771246	0.679541	130.566406	185.156250
66575.773245	0.774702	130.566406	185.156250
66575.775245	0.771665	8.488316	0.669980
66576.823778	0.663703	60.546875	-166.503906
66576.827776	0.771167	60.546875	-166.503906
66576.829779	0.769334	8.462677	0.603088
66577.863820	0.616374	129.296875	184.472656
66577.867821	0.772106	129.296875	184.472656
66577.869822	0.770081	8.470892	0.581400
66578.915836	0.520342	38.574219	-178.906250
66578.917838	0.753572	38.574219	-178.906250
66578.919838	0.772755	38.574219	-178.906250
66578.921839	0.770322	8.473541	0.538102
66579.957855	0.729388	124.511719	193.847656
66579.959857	0.773510	124.511719	193.847656
66579.961857	0.770769	8.478460	0.528869
66580.992738	0.554622	79.492187	-181.152344
66580.994742	0.764425	79.492187	-181.152344
66580.996744	0.772876	79.492187	-181.152344
66580.998744	0.772768	8.500447	0.749205
66582.032738	0.497157	122.656250	205.957031
66582.034739	0.744335	122.656250	205.957031
66582.036741	0.773269	122.656250	205.957031
66582.038740	0.770631	8.476936	0.453920
66583.088732	0.383952	81.250000	-188.867187
66583.090734	0.672923	81.250000	-188.867187
66583.092732	0.774540	81.250000	-188.867187
66583.094733	0.771557	8.487128	0.688503
66584.113280	0.464935	120.019531	208.007812
66584.115282	0.728340	120.019531	208.007812
66584.117282	0.774225	120.019531	208.007812
66584.119283	0.771410	8.485506	0.584694
66585.187310	0.595109	78.417969	-192.968750
66585.189312	0.771583	78.417969	-192.968750
66585.193310	0.770189	8.472079	0.567694
66586.197880	0.426466	120.117187	210.839844
66586.199882	0.704179	120.117187	210.839844
66586.201882	0.773735	120.117187	210.839844
66586.203881	0.770747	8.478221	0.474309
66587.275898	1.815288	84.667969	-192.382812
66587.277898	0.760049	84.667969	-192.382812
66587.279898	0.772880	84.667969	-192.382812
66587.281897	0.770494	8.475438	0.720026
66588.281945	0.305424	117.480469	202.734375
66588.283946	0.602683	117.480469	202.734375
66588.285946	0.772805	117.480469	202.734375
66588.287948	0.773096	8.504055	0.531676
66589.367974	0.394204	69.921875	-195.703125
66589.369978	0.681034	69.921875	-195.703125
66589.371978	0.774602	69.921875	-195.703125
66589.373978	0.771649	8.488138	0.580355
66590.362038	0.752461	120.312500	207.421875
66590.366039	0.770975	120.312500	207.421875
66590.368038	0.769353	8.462881	0.572858
66591.456555	0.339193	92.871094	-189.746094
66591.458556	0.634470	92.871094	-189.746094
66591.460557	0.639577	92.871094	-189.746094
66591.462558	0.773157	8.504728	0.576822
66592.452590	0.444995	118.359375	199.902344
66592.454598	0.716358	118.359375	199.902344
66592.456597	0.724628	118.359375	199.902344
66592.458595	0.771091	8.481997	0.519447
66593.536678	0.238970	75.878906	-193.652344
66593.538680	0.539797	75.878906	-193.652344
66593.540681	0.760565	75.878906	-193.652344
66593.542680	0.773138	75.878906	-193.652344
66593.544681	0.770743	8.478177	0.667507
66594.538720	0.629888	118.261719	199.609375
66594.540722	0.773774	118.261719	199.609375
66594.542723	0.771954	8.491497	0.583987
66595.625619	0.235406	76.855469	-195.019531
66595.627622	0.536499	76.855469	-195.019531
66595.629622	0.542537	76.855469	-195.019531
66595.631623	0.772712	76.855469	-195.019531
66595.633622	0.770300	8.473303	0.544668
66596.633610	0.771809	118.164062	200.976562
66596.635613	0.771673	118.164062	200.976562
66596.639610	0.768133	8.449463	0.495394
66597.711593	0.404412	62.695312	-200.000000
66597.713595	0.688728	62.695312	-200.000000
66597.715594	0.774649	62.695312	-200.000000
66597.717596	0.771750	8.489255	0.647540
66598.721630	0.729601	119.824219	203.808594
66598.723631	0.773112	119.824219	203.808594
66598.725631	0.770411	8.474525	0.542075
66599.799649	0.769854	41.406250	-203.710937
66599.801652	0.772753	41.406250	-203.710937
66599.803651	0.770482	8.475306	0.792295
66600.817634	0.593073	122.167969	203.027344
66600.819632	0.771518	122.167969	203.027344
66600.821633	0.772659	8.499251	0.476180
66601.866147	0.583099	47.460937	-197.363281
66601.868152	0.770739	47.460937	-197.363281
66601.870152	0.773370	47.460937	-197.363281
66601.872153	0.771018	8.481199	0.854596
66602.912162	0.751199	124.609375	194.042969
66602.914164	0.773154	124.609375	194.042969
